case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_core,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_core,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
banba_cal,SKY130-BGR-banba_cal,7,24,336345,FA,40,-22.3376,22.3376,0,1,0.8002585,30.35307,47.262,70.615,27.2849,41.85099,0,0,0,0,0,0,39.0,1,-22.3376,22.3376,0.8002585,30.35307,47.262,70.615,27.2849,41.85099,39798.36986456066,150000,150000,15646.0,-22.29766790160268,150001,150000,timeout=1,0,PSRR_worst_case_10Hz_10MHz,22.3376,44.11378,22.3376,44.11378,1,4.975,1.0,30.23,21.52,6.165000000000001,5.131416666122683,1.0735322135001373,4.975,1.0,30.23,21.52,6.165000000000001,5.131416666122683,1.0735322135001373,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,25,337345,FA,40,-20.19903,20.19903,0,1,0.8013477,30.36324,47.5992,66.552,26.2341,30.85025,0,0,0,0,0,0,57.0,1,-20.19903,20.19903,0.8013477,30.36324,47.5992,66.552,26.2341,30.85025,19781.50611070171,150000,150000,14181.0,-18.42413841745612,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,20.19903,39.85615,20.19903,39.85615,1,17.225,2.0,31.375,30.675,8.0,1.2944594322847534,1.0057830212383674,17.225,2.0,31.375,30.675,8.0,1.2944594322847534,1.0057830212383674,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,26,338345,FA,40,-45.28239,45.28239,0,1,0.7991945,30.3768,52.9839,53.413,19.0504,69.50786,0,0,0,0,0,0,37.0,1,-45.28239,45.28239,0.7991945,30.3768,52.9839,53.413,19.0504,69.50786,29228.039235103875,150000,150000,15343.0,-44.930501099974,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,45.28239,49.65598,45.28239,49.65598,1,3.575,1.0,13.765,19.58,0.7100000000000001,14.72632805942792,1.420913331719324,3.575,1.0,13.765,19.58,0.7100000000000001,14.72632805942792,1.420913331719324,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,27,339345,FA,40,-29.85672,29.85672,0,1,0.7992238,29.93056,52.922,49.53899999999999,16.8398,69.5084,0,0,0,0,0,0,1.0,1,-29.85672,29.85672,0.7992238,29.93056,52.922,49.53899999999999,16.8398,69.5084,19484.5068750903,150000,150000,14819.0,-29.49741507452716,150001,149999,measure_failed=2,0,PSRR_worst_case_10Hz_10MHz,29.85672,49.43008,29.85672,49.43008,1,3.225,18.11,21.66,28.59,0.7250000000000001,14.726349333967493,1.351748033135041,3.225,18.11,21.66,28.59,0.7250000000000001,14.726349333967493,1.351748033135041,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,28,340345,FA,40,-22.43987,22.43987,0,1,0.8002659,30.20966,47.2619,70.502,27.5811,40.60521,0,0,0,0,0,0,22.0,1,-22.43987,22.43987,0.8002659,30.20966,47.2619,70.502,27.5811,40.60521,20406.610490050167,150000,150000,12573.0,-22.346077762851756,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,22.43987,43.80388,22.43987,43.80388,1,5.055,1.0,30.29,21.48,6.19,4.698736817440338,1.0089551175975198,5.055,1.0,30.29,21.48,6.19,4.698736817440338,1.0089551175975198,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,29,341345,FA,40,-15.21205,15.21205,0,1,0.8004347,17.45037,58.5558,58.378,20.7222,42.29419,0,0,0,0,0,0,25.0,1,-15.21205,15.21205,0.8004347,17.45037,58.5558,58.378,20.7222,42.29419,19786.027878023684,150000,150000,18330.0,-15.19791477596517,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,15.21205,47.68121,15.21205,47.68121,1,5.82,8.67,28.87,51.075,0.92,5.270645752198887,1.3209333182591887,5.82,8.67,28.87,51.075,0.92,5.270645752198887,1.3209333182591887,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,0,312345,GA,40,-21.91031,21.91031,0,1,0.7999903,30.37158,47.2616,67.085,28.8508,34.80041,0,0,0,0,0,0,17.0,1,-21.91031,21.91031,0.7999903,30.37158,47.2616,67.085,28.8508,34.80041,53696.68272703886,150000,150000,111640.0,-21.81338828725525,150001,149992,measure_failed=2;no_convergence=7,0,PSRR_worst_case_10Hz_10MHz,21.91031,42.14336,21.91031,42.14336,1,6.6850000000000005,1.0,40.0,22.72,6.425000000000001,2.685771292488776,0.930085443077412,6.6850000000000005,1.0,40.0,22.72,6.425000000000001,2.685771292488776,0.930085443077412,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,1,313345,GA,40,-54.83296,54.83296,0,1,0.8010938,25.89565,54.1279,67.219,16.013,64.51294,0,0,0,0,0,0,30.0,1,-54.83296,54.83296,0.8010938,25.89565,54.1279,67.219,16.013,64.51294,32779.12269611657,150000,150000,140640.0,-52.25581101532677,150001,150000,no_convergence=1,0,PSRR_worst_case_10Hz_10MHz,54.83296,54.83296,54.83296,54.83296,1,2.3200000000000003,1.005,1.0,12.49,0.62,12.961057566634274,1.3035785034225955,2.3200000000000003,1.005,1.0,12.49,0.62,12.961057566634274,1.3035785034225955,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,2,314345,GA,40,-56.05956,56.05956,0,1,0.8014107,26.12892,52.9861,68.028,15.7812,69.15128,0,0,0,0,0,0,3.0,1,-56.05956,56.05956,0.8014107,26.12892,52.9861,68.028,15.7812,69.15128,31943.980050966144,150000,150000,123200.0,-55.16869546903646,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,56.05956,56.05956,56.05956,56.05956,1,2.125,1.0,1.13,11.82,0.61,14.566591010601226,1.302959602950991,2.125,1.0,1.13,11.82,0.61,14.566591010601226,1.302959602950991,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,3,315345,GA,40,-54.65746,54.65746,0,1,0.8012272,25.72871,54.0313,66.753,15.371,68.28752,0,0,0,0,0,0,87.0,1,-54.65746,54.65746,0.8012272,25.72871,54.0313,66.753,15.371,68.28752,51900.84642917663,150000,150000,145120.0,-52.17265182134547,150001,149996,measure_failed=2;timeout=3,0,PSRR_worst_case_10Hz_10MHz,54.65746,54.65746,54.65746,54.65746,1,2.505,1.02,1.0,13.55,0.61,14.268349733188629,1.286019607165152,2.505,1.02,1.0,13.55,0.61,14.268349733188629,1.286019607165152,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
