experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,4,4042,GA,905.0467244172596,94.9532755827405,1,0,45.91703090001829
pressure,frozen,12,4,4042,ACO,903.65476578792,96.34523421208004,1,0,40.02799430000596
pressure,frozen,12,5,5042,ABC,-100.73757776983707,100.73757776983707,0,1,40.96822700003395
pressure,frozen,12,5,5042,GWO,903.6657305591162,96.3342694408838,1,0,32.64922750002006
pressure,frozen,12,5,5042,FA,905.029609789044,94.97039021095604,1,0,85.35442410001997
pressure,frozen,12,5,5042,PSO,-101.81071357813194,101.81071357813194,0,1,18.8823010000051
pressure,frozen,12,5,5042,GA,895.8559217336469,104.1440782663531,1,0,38.11611090000952
pressure,frozen,12,5,5042,ACO,903.6328367214556,96.36716327854444,1,0,40.33573620003881
pressure,frozen,12,6,6042,ABC,-102.77485077568063,102.77485077568063,0,1,41.3951019999804
pressure,frozen,12,6,6042,GWO,-90.15111253776487,90.15111253776487,0,1,34.87665689998539
pressure,frozen,12,6,6042,FA,907.2119721972008,92.7880278027992,1,0,88.10175529995468
pressure,frozen,12,6,6042,PSO,-102.27440202846998,102.27440202846998,0,1,17.37894259998575
pressure,frozen,12,6,6042,GA,904.6162802271364,95.38371977286371,1,0,41.64922800002387
pressure,frozen,12,6,6042,ACO,903.6472116235224,96.35278837647772,1,0,41.97456289996626
pressure,frozen,12,7,7042,ABC,-115.29300612166534,115.29300612166534,0,1,41.679256599978544
pressure,frozen,12,7,7042,GWO,888.9966862949461,111.00331370505388,1,0,33.440164000028744
pressure,frozen,12,7,7042,FA,-112.46366037437365,112.46366037437365,0,1,89.73041479999665
pressure,frozen,12,7,7042,PSO,-115.39862772574992,115.39862772574992,0,1,17.615560700010974
pressure,frozen,12,7,7042,GA,-115.33268915041984,115.33268915041984,0,1,40.69264879997354
pressure,frozen,12,7,7042,ACO,-115.40123914761472,115.40123914761472,0,1,40.96198139997432
pressure,frozen,12,8,8042,ABC,-111.38176499475595,111.38176499475595,0,1,41.782174599997234
pressure,frozen,12,8,8042,GWO,895.2033726821031,104.79662731789686,1,0,31.07194850000087
pressure,frozen,12,8,8042,FA,895.2033726821031,104.79662731789686,1,0,167.3583884999971
pressure,frozen,12,8,8042,PSO,-111.38344741638252,111.38344741638252,0,1,21.69112730002962
pressure,frozen,12,8,8042,GA,-111.38316782725296,111.38316782725296,0,1,44.69769110000925
pressure,frozen,12,8,8042,ACO,-110.69745982256792,110.69745982256792,0,1,40.50252039998304
pressure,frozen,12,9,9042,ABC,-108.42994788468052,108.42994788468052,0,1,41.82913279999048
pressure,frozen,12,9,9042,GWO,-93.45732852724332,93.45732852724332,0,1,33.259089900006074
pressure,frozen,12,9,9042,FA,-108.70860269749257,108.70860269749257,0,1,92.85262050002348
pressure,frozen,12,9,9042,PSO,-103.89233959752364,103.89233959752364,0,1,16.801877999969292
pressure,frozen,12,9,9042,GA,-108.5301703592985,108.5301703592985,0,1,44.86520060000476
pressure,frozen,12,9,9042,ACO,-103.89233959752356,103.89233959752356,0,1,42.04044709994923
pressure,frozen,12,10,10042,ABC,-95.95682335034464,95.95682335034464,0,1,42.05148279998684
pressure,frozen,12,10,10042,GWO,903.664288099732,96.33571190026804,1,0,34.18543959996896
pressure,frozen,12,10,10042,FA,907.7739550019168,92.22604499808313,1,0,84.33610590000171
pressure,frozen,12,10,10042,PSO,-96.4300877934452,96.4300877934452,0,1,18.95054920000257
pressure,frozen,12,10,10042,GA,905.720214165356,94.27978583464386,1,0,39.307299299980514
pressure,frozen,12,10,10042,ACO,903.5775609544612,96.4224390455389,1,0,36.81164119997993
pressure,frozen,12,11,11042,ABC,-110.05752238261616,110.05752238261616,0,1,40.04077959997812
