dim,pop,budget,seed_base,run,algo,best_fitness,is_feasible,penalty,PSRR_DB
7,20,2500,777,12,GA,-104.7572072536833,1,0,104.7572072536833
7,20,2500,777,12,ACO,-105.96684905796344,1,0,105.96684905796344
7,20,2500,777,13,ABC,-116.48760237834436,1,0,116.48760237834436
7,20,2500,777,13,GWO,-116.02728992517801,1,0,116.02728992517801
7,20,2500,777,13,FA,-116.17536176177762,1,0,116.17536176177762
7,20,2500,777,13,PSO,880.6074442113203,0,1,119.39255578867972
7,20,2500,777,13,GA,-116.55348933355874,1,0,116.55348933355874
7,20,2500,777,13,ACO,880.5981574076084,0,1,119.40184259239165
7,20,2500,777,14,ABC,-102.66530888713199,1,0,102.66530888713199
7,20,2500,777,14,GWO,-101.6870297702575,1,0,101.6870297702575
7,20,2500,777,14,FA,-102.63427047668299,1,0,102.63427047668299
7,20,2500,777,14,PSO,888.752008307932,0,1,111.24799169206797
7,20,2500,777,14,GA,888.1063754526131,0,1,111.89362454738695
7,20,2500,777,14,ACO,-103.8131367896652,1,0,103.8131367896652
7,20,2500,777,15,ABC,-101.58460044370555,1,0,101.58460044370555
7,20,2500,777,15,GWO,890.4122123177958,0,1,109.58778768220417
7,20,2500,777,15,FA,-102.88925734946787,1,0,102.88925734946787
7,20,2500,777,15,PSO,-104.37231593518777,1,0,104.37231593518777
7,20,2500,777,15,GA,888.3073101330336,0,1,111.69268986696639
7,20,2500,777,15,ACO,888.2949468587991,0,1,111.7050531412009
7,20,2500,777,16,ABC,-104.5894250550211,1,0,104.5894250550211
7,20,2500,777,16,GWO,-104.56493981592762,1,0,104.56493981592762
7,20,2500,777,16,FA,-104.59177262658237,1,0,104.59177262658237
7,20,2500,777,16,PSO,-104.6043142147565,1,0,104.6043142147565
7,20,2500,777,16,GA,-104.2547191224406,1,0,104.2547191224406
7,20,2500,777,16,ACO,-104.61384983843544,1,0,104.61384983843544
7,20,2500,777,17,ABC,-107.87152190491706,1,0,107.87152190491706
7,20,2500,777,17,GWO,-105.5724783835609,1,0,105.5724783835609
7,20,2500,777,17,FA,-107.85170851798044,1,0,107.85170851798044
7,20,2500,777,17,PSO,-107.87859636090651,1,0,107.87859636090651
7,20,2500,777,17,GA,-107.86993469174166,1,0,107.86993469174166
7,20,2500,777,17,ACO,-107.87859081853031,1,0,107.87859081853031
7,20,2500,777,18,ABC,-106.3599061374772,1,0,106.3599061374772
7,20,2500,777,18,GWO,-106.10209439923692,1,0,106.10209439923692
7,20,2500,777,18,FA,-106.35338692787951,1,0,106.35338692787951
7,20,2500,777,18,PSO,-106.37246779506202,1,0,106.37246779506202
7,20,2500,777,18,GA,887.8737266321114,0,1,112.12627336788864
7,20,2500,777,18,ACO,-106.37238349056281,1,0,106.37238349056281
7,20,2500,777,19,ABC,-117.26423503844302,1,0,117.26423503844302
7,20,2500,777,19,GWO,-116.73191842165623,1,0,116.73191842165623
7,20,2500,777,19,FA,-117.23284653702454,1,0,117.23284653702454
7,20,2500,777,19,PSO,-117.3929069070285,1,0,117.3929069070285
7,20,2500,777,19,GA,-117.38233610991662,1,0,117.38233610991662
7,20,2500,777,19,ACO,-117.39287960174646,1,0,117.39287960174646
7,20,2500,777,20,ABC,-113.78099261559605,1,0,113.78099261559605
7,20,2500,777,20,GWO,-111.36514616897851,1,0,111.36514616897851
7,20,2500,777,20,FA,-113.76167469604944,1,0,113.76167469604944
7,20,2500,777,20,PSO,-113.79681658445229,1,0,113.79681658445229
7,20,2500,777,20,GA,-113.76677342446496,1,0,113.76677342446496
7,20,2500,777,20,ACO,-113.79698646658731,1,0,113.79698646658731
7,20,2500,777,21,ABC,889.755246300452,0,1,110.24475369954799
7,20,2500,777,21,GWO,-101.8729590771143,1,0,101.8729590771143
7,20,2500,777,21,FA,889.4435534817574,0,1,110.55644651824261
7,20,2500,777,21,PSO,889.4492658376727,0,1,110.55073416232733
7,20,2500,777,21,GA,-104.11468334822251,1,0,104.11468334822251
7,20,2500,777,21,ACO,-104.18762749555492,1,0,104.18762749555492
7,20,2500,777,22,ABC,-107.26224632727528,1,0,107.26224632727528
7,20,2500,777,22,GWO,-106.91638017058847,1,0,106.91638017058847
7,20,2500,777,22,FA,-102.37189034346541,1,0,102.37189034346541
7,20,2500,777,22,PSO,-107.27508484141644,1,0,107.27508484141644
7,20,2500,777,22,GA,-107.25696826959563,1,0,107.25696826959563
7,20,2500,777,22,ACO,-107.27509324238476,1,0,107.27509324238476
7,20,2500,777,23,ABC,-111.86119515983677,1,0,111.86119515983677
7,20,2500,777,23,GWO,-107.17833144960763,1,0,107.17833144960763
7,20,2500,777,23,FA,-111.77653966215334,1,0,111.77653966215334
7,20,2500,777,23,PSO,-112.00265358861667,1,0,112.00265358861667
7,20,2500,777,23,GA,-111.89431778889077,1,0,111.89431778889077
7,20,2500,777,23,ACO,-112.00325650166033,1,0,112.00325650166033
7,20,2500,777,24,ABC,-110.55345420139831,1,0,110.55345420139831
7,20,2500,777,24,GWO,-105.27278202367867,1,0,105.27278202367867
7,20,2500,777,24,FA,-106.34917107171529,1,0,106.34917107171529
7,20,2500,777,24,PSO,-110.56925707357222,1,0,110.56925707357222
7,20,2500,777,24,GA,889.5617917975999,0,1,110.43820820240018
7,20,2500,777,24,ACO,-110.5694365238045,1,0,110.5694365238045
7,20,2500,777,25,ABC,-105.08133978127294,1,0,105.08133978127294
7,20,2500,777,25,GWO,-96.08532683027607,1,0,96.08532683027607
7,20,2500,777,25,FA,-103.79644811143261,1,0,103.79644811143261
7,20,2500,777,25,PSO,-103.78329594602502,1,0,103.78329594602502
7,20,2500,777,25,GA,888.4814054828673,0,1,111.51859451713264
7,20,2500,777,25,ACO,-103.7426728108365,1,0,103.7426728108365
7,20,2500,777,26,ABC,-111.04064215256297,1,0,111.04064215256297
7,20,2500,777,26,GWO,-109.86437044330673,1,0,109.86437044330673
7,20,2500,777,26,FA,-111.10456226608461,1,0,111.10456226608461
7,20,2500,777,26,PSO,-110.55443992658147,1,0,110.55443992658147
7,20,2500,777,26,GA,-111.07680047483942,1,0,111.07680047483942
7,20,2500,777,26,ACO,-110.55448972282697,1,0,110.55448972282697
7,20,2500,777,27,ABC,-109.7409093190615,1,0,109.7409093190615
7,20,2500,777,27,GWO,-95.35719339719914,1,0,95.35719339719914
7,20,2500,777,27,FA,-109.8989595277575,1,0,109.8989595277575
7,20,2500,777,27,PSO,-109.70878943529674,1,0,109.70878943529674
7,20,2500,777,27,GA,-105.41529459197722,1,0,105.41529459197722
7,20,2500,777,27,ACO,-109.95882855744827,1,0,109.95882855744827
7,20,2500,777,28,ABC,-112.34295316466255,1,0,112.34295316466255
7,20,2500,777,28,GWO,-112.88606056910503,1,0,112.88606056910503
7,20,2500,777,28,FA,-113.05639010870631,1,0,113.05639010870631
7,20,2500,777,28,PSO,-112.86467209846658,1,0,112.86467209846658
7,20,2500,777,28,GA,-113.07035222328355,1,0,113.07035222328355
7,20,2500,777,28,ACO,-113.07125694880409,1,0,113.07125694880409
7,20,2500,777,29,ABC,-93.5888287310263,1,0,93.5888287310263
7,20,2500,777,29,GWO,-91.01825958452342,1,0,91.01825958452342
7,20,2500,777,29,FA,-94.98886104922822,1,0,94.98886104922822
7,20,2500,777,29,PSO,-95.04430191296841,1,0,95.04430191296841
7,20,2500,777,29,GA,-94.6895896719102,1,0,94.6895896719102
7,20,2500,777,29,ACO,-94.95420308074716,1,0,94.95420308074716
7,20,2500,20260806,0,ABC,-104.89309359428673,1,0,104.89309359428673
7,20,2500,20260806,0,GWO,891.262782235774,0,1,108.73721776422597
7,20,2500,20260806,0,FA,891.171143236751,0,1,108.82885676324894
7,20,2500,20260806,0,PSO,891.1467975668716,0,1,108.85320243312847
7,20,2500,20260806,0,GA,891.1531630689306,0,1,108.8468369310694
7,20,2500,20260806,0,ACO,891.1467256366143,0,1,108.85327436338574
7,20,2500,20260806,1,ABC,-107.32256134221869,1,0,107.32256134221869
7,20,2500,20260806,1,GWO,-105.96026908138091,1,0,105.96026908138091
7,20,2500,20260806,1,FA,-107.31218552256067,1,0,107.31218552256067
7,20,2500,20260806,1,PSO,-107.28723769487483,1,0,107.28723769487483
7,20,2500,20260806,1,GA,-107.3127523547923,1,0,107.3127523547923
7,20,2500,20260806,1,ACO,-107.33674604712965,1,0,107.33674604712965
7,20,2500,20260806,2,ABC,-106.7648847993435,1,0,106.7648847993435
7,20,2500,20260806,2,GWO,-102.55026443495983,1,0,102.55026443495983
7,20,2500,20260806,2,FA,-106.73180417020991,1,0,106.73180417020991
7,20,2500,20260806,2,PSO,-106.76986913475302,1,0,106.76986913475302
7,20,2500,20260806,2,GA,-102.9830830483206,1,0,102.9830830483206
7,20,2500,20260806,2,ACO,-101.81860249259726,1,0,101.81860249259726
7,20,2500,20260806,3,ABC,-108.53786363587696,1,0,108.53786363587696
7,20,2500,20260806,3,GWO,-106.87276205919257,1,0,106.87276205919257
7,20,2500,20260806,3,FA,-108.4826707473342,1,0,108.4826707473342
7,20,2500,20260806,3,PSO,-107.45630306302662,1,0,107.45630306302662
7,20,2500,20260806,3,GA,893.0355391082248,0,1,106.9644608917751
7,20,2500,20260806,3,ACO,-107.45630495949942,1,0,107.45630495949942
7,20,2500,20260806,4,ABC,-112.23188152565314,1,0,112.23188152565314
7,20,2500,20260806,4,GWO,887.7800203454326,0,1,112.2199796545674
7,20,2500,20260806,4,FA,-112.03751473889984,1,0,112.03751473889984
7,20,2500,20260806,4,PSO,-112.31402796017787,1,0,112.31402796017787
7,20,2500,20260806,4,GA,-112.29135019224717,1,0,112.29135019224717
7,20,2500,20260806,4,ACO,-112.31398263897862,1,0,112.31398263897862
7,20,2500,20260806,5,ABC,-99.21530697065782,1,0,99.21530697065782
7,20,2500,20260806,5,GWO,-98.73883026496355,1,0,98.73883026496355
7,20,2500,20260806,5,FA,-98.92715373264517,1,0,98.92715373264517
7,20,2500,20260806,5,PSO,-99.6159327809997,1,0,99.6159327809997
7,20,2500,20260806,5,GA,-99.25239847210646,1,0,99.25239847210646
7,20,2500,20260806,5,ACO,-99.61517164136565,1,0,99.61517164136565
7,20,2500,20260806,6,ABC,-99.05865436599984,1,0,99.05865436599984
7,20,2500,20260806,6,GWO,-96.58848180235594,1,0,96.58848180235594
7,20,2500,20260806,6,FA,-95.87063399695255,1,0,95.87063399695255
7,20,2500,20260806,6,PSO,-97.69757657239961,1,0,97.69757657239961
7,20,2500,20260806,6,GA,-97.77520656991281,1,0,97.77520656991281
7,20,2500,20260806,6,ACO,-97.89159293958699,1,0,97.89159293958699
7,20,2500,20260806,7,ABC,-110.90956496402579,1,0,110.90956496402579
7,20,2500,20260806,7,GWO,-99.04704226071952,1,0,99.04704226071952
7,20,2500,20260806,7,FA,-103.66224520273714,1,0,103.66224520273714
7,20,2500,20260806,7,PSO,-103.6032314586006,1,0,103.6032314586006
7,20,2500,20260806,7,GA,884.5558514863146,0,1,115.44414851368538
