case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_pass,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_pass,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
base,SKY130-BGR,7,25,337345,ABC,40,-55.21722,55.21722,0,1,1.221388,19.58031,50.2911,64.259,15.7971,47.0743,0,0,0,0,0,0,19.0,1,-55.21722,55.21722,1.221388,19.58031,50.2911,64.259,15.7971,47.0743,18571.13917319477,150000,150000,120363.0,-54.297833756958376,150001,149989,measure_failed=12,0,PSRR_worst_case_10Hz_10MHz,55.21722,55.21722,55.21722,55.21722,1,4.73,1.0,1.0,25.86,0.6,9.913949487794758,1.2408361587958552,4.73,1.0,1.0,25.86,0.6,9.913949487794758,1.2408361587958552,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,26,338345,ABC,40,-54.55317,54.55317,0,1,1.221204,20.22346,50.4542,64.793,16.0293,46.37185,0,0,0,0,0,0,86.0,1,-54.55317,54.55317,1.221204,20.22346,50.4542,64.793,16.0293,46.37185,17096.21097101178,150000,150000,143584.0,-51.87614611260741,150001,149990,measure_failed=11,0,PSRR_worst_case_10Hz_10MHz,54.55317,54.55317,54.55317,54.55317,1,4.405,1.0,1.0,23.59,0.625,9.672286457910587,1.2520006563749584,4.405,1.0,1.0,23.59,0.625,9.672286457910587,1.2520006563749584,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,27,339345,ABC,40,-55.24717,55.24717,0,1,1.221391,19.57033,50.0289,63.66,15.4832,45.58878,0,0,0,0,0,0,69.0,1,-55.24717,55.24717,1.221391,19.57033,50.0289,63.66,15.4832,45.58878,17881.683724196628,150000,150000,105305.0,-52.40388664191095,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,55.24717,55.24717,55.24717,55.24717,1,5.315,1.0,1.0,27.185,0.57,9.39803491441406,1.2412218595892834,5.315,1.0,1.0,27.185,0.57,9.39803491441406,1.2412218595892834,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,28,340345,ABC,40,-54.92844,54.92844,0,1,1.221299,19.76534,50.2458,63.845,15.5902,44.78186,0,0,0,0,0,0,17.0,1,-54.92844,54.92844,1.221299,19.76534,50.2458,63.845,15.5902,44.78186,19069.122959658504,150000,150000,104116.0,-54.01567550507002,150001,149983,measure_failed=18,0,PSRR_worst_case_10Hz_10MHz,54.92844,54.92844,54.92844,54.92844,1,5.3950000000000005,1.0,1.0,27.345,0.575,9.118935161797475,1.244532790862685,5.3950000000000005,1.0,1.0,27.345,0.575,9.118935161797475,1.244532790862685,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,29,341345,ABC,40,-55.46403,55.46403,0,1,1.220993,21.22465,50.0301,65.055,16.1307,41.28379,0,0,0,0,0,0,82.0,1,-55.46403,55.46403,1.220993,21.22465,50.0301,65.055,16.1307,41.28379,18045.5610430222,150000,150000,20363.0,-52.86318209351395,150001,149993,measure_failed=8,0,PSRR_worst_case_10Hz_10MHz,55.46403,55.46403,55.46403,55.46403,1,4.96,1.01,1.0,23.835,0.575,7.907961233913076,1.322389909211852,4.96,1.01,1.0,23.835,0.575,7.907961233913076,1.322389909211852,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,0,312345,ACO,40,-55.67211,55.67211,0,1,1.221334,19.94838,50.0012,64.39,15.8411,45.79951,0,0,0,0,0,0,135.0,1,-55.67211,55.67211,1.221334,19.94838,50.0012,64.39,15.8411,45.79951,20846.46393732354,150000,150000,128440.0,-53.60958583077221,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.67211,55.67211,55.67211,55.67211,1,4.720000000000001,1.0,1.0,25.0,0.585,9.471936505872426,1.2714554713672468,4.720000000000001,1.0,1.0,25.0,0.585,9.471936505872426,1.2714554713672468,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,1,313345,ACO,40,-55.74446,55.74446,0,1,1.221361,19.85862,50.0001,64.493,15.8758,46.25971,0,0,0,0,0,0,35.0,1,-55.74446,55.74446,1.221361,19.85862,50.0001,64.493,15.8758,46.25971,20988.70880465582,150000,150000,127360.0,-55.36793913866092,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.74446,55.74446,55.74446,55.74446,1,4.6,1.0,1.0,24.79,0.59,9.631426238171075,1.2711254572297968,4.6,1.0,1.0,24.79,0.59,9.631426238171075,1.2711254572297968,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,2,314345,ACO,40,-55.65307,55.65307,0,1,1.221371,19.80388,50.0006,64.285,15.7886,46.22085,0,0,0,0,0,0,96.0,1,-55.65307,55.65307,1.221371,19.80388,50.0006,64.285,15.7886,46.22085,22292.133191261903,150000,150000,149520.0,-53.70372497673318,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.65307,55.65307,55.65307,55.65307,1,4.74,1.0,1.0,25.255,0.585,9.617791511125578,1.2645988972262103,4.74,1.0,1.0,25.255,0.585,9.617791511125578,1.2645988972262103,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,3,315345,ACO,40,-55.73676,55.73676,0,1,1.221376,19.80379,50.0,64.441,15.848,46.44254,0,0,0,0,0,0,112.0,1,-55.73676,55.73676,1.221376,19.80379,50.0,64.441,15.848,46.44254,22045.476031223312,150000,150000,117160.0,-53.66227381239208,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,55.73676,55.73676,55.73676,55.73676,1,4.609999999999999,1.0,1.0,24.88,0.59,9.694737962269889,1.2682998813877049,4.609999999999999,1.0,1.0,24.88,0.59,9.694737962269889,1.2682998813877049,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,4,316345,ACO,40,-55.65156,55.65156,0,1,1.221374,19.7939,50.0001,64.253,15.7719,46.28842,0,0,0,0,0,0,188.0,1,-55.65156,55.65156,1.221374,19.7939,50.0001,64.253,15.7719,46.28842,22180.55294425972,150000,150000,107360.0,-51.93149716561444,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.65156,55.65159,55.65156,55.65159,1,4.745,1.0,1.0,25.25,0.585,9.641226539574054,1.2634896026815283,4.745,1.0,1.0,25.25,0.585,9.641226539574054,1.2634896026815283,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
