experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D12,12,18,18042,FA,-100.17014723769184,100.17014723769184,0,1,36.449781400035135
dim,D12,12,18,18042,PSO,-113.3588625097746,113.3588625097746,0,1,9.422045800019989
dim,D12,12,18,18042,GA,-115.16431246634204,115.16431246634204,0,1,18.887854899978265
dim,D12,12,18,18042,ACO,-115.15426549600848,115.15426549600848,0,1,17.39013710001018
dim,D12,12,19,19042,ABC,-102.14502255048944,102.14502255048944,0,1,15.797915699949954
dim,D12,12,19,19042,GWO,903.669501584895,96.33049841510508,1,0,13.547272199997678
dim,D12,12,19,19042,FA,907.9757011205425,92.02429887945765,1,0,34.75394680001773
dim,D12,12,19,19042,PSO,-104.91399598873956,104.91399598873956,0,1,9.61710580001818
dim,D12,12,19,19042,GA,-104.8874370868353,104.8874370868353,0,1,18.82697569997981
dim,D12,12,19,19042,ACO,903.662121187564,96.33787881243585,1,0,17.65640410000924
dim,D12,12,20,20042,ABC,-110.46231003326996,110.46231003326996,0,1,15.811529600003269
dim,D12,12,20,20042,GWO,-101.5651613329177,101.5651613329177,0,1,13.415506099991036
dim,D12,12,20,20042,FA,-109.54613595555804,109.54613595555804,0,1,36.54497099999571
dim,D12,12,20,20042,PSO,-110.09369703941444,110.09369703941444,0,1,9.45903269998962
dim,D12,12,20,20042,GA,-110.58191414460966,110.58191414460966,0,1,18.944798799988348
dim,D12,12,20,20042,ACO,-110.09602822484112,110.09602822484112,0,1,17.240219999977853
dim,D12,12,21,21042,ABC,-107.45170523681524,107.45170523681524,0,1,15.48892380000325
dim,D12,12,21,21042,GWO,903.6229849604662,96.37701503953382,1,0,13.313785100006498
dim,D12,12,21,21042,FA,-98.50485183545936,98.50485183545936,0,1,36.33153750002384
dim,D12,12,21,21042,PSO,-107.45956520812106,107.45956520812106,0,1,9.36288579995744
dim,D12,12,21,21042,GA,-107.4488151466131,107.4488151466131,0,1,18.74753950000741
dim,D12,12,21,21042,ACO,903.6156582345312,96.38434176546872,1,0,17.66788370005088
dim,D12,12,22,22042,ABC,-114.63255696203242,114.63255696203242,0,1,15.388999599963428
dim,D12,12,22,22042,GWO,-107.36593736878602,107.36593736878602,0,1,13.502494500018656
dim,D12,12,22,22042,FA,-110.8950833181381,110.8950833181381,0,1,36.90332159999525
dim,D12,12,22,22042,PSO,-114.95584203191596,114.95584203191596,0,1,9.46065429999726
dim,D12,12,22,22042,GA,-114.78105364282628,114.78105364282628,0,1,18.98336379998364
dim,D12,12,22,22042,ACO,-115.04469514715672,115.04469514715672,0,1,17.685785400040913
dim,D12,12,23,23042,ABC,900.3650512874977,99.6349487125022,1,0,15.595001799985766
dim,D12,12,23,23042,GWO,903.9067989378422,96.0932010621578,1,0,13.199136700015517
dim,D12,12,23,23042,FA,904.2984083671691,95.70159163283073,1,0,34.050974200014025
dim,D12,12,23,23042,PSO,904.1790364236608,95.82096357633924,1,0,9.569112800003497
dim,D12,12,23,23042,GA,904.0913491790816,95.90865082091824,1,0,19.19377259997418
dim,D12,12,23,23042,ACO,903.6612997053606,96.33870029463937,1,0,17.431254800001625
dim,D12,12,24,24042,ABC,903.660876702014,96.33912329798588,1,0,15.645277800038455
dim,D12,12,24,24042,GWO,903.6663145543126,96.33368544568738,1,0,13.452782000007574
