algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
GA,12,15,5,-200.0,6,1,0
GA,13,15,3,27.02071,2,1,0
GA,14,15,4,28.34821,3,1,0
GA,15,15,3,-200.0,6,1,0
GA,16,15,3,-200.0,6,1,0
GA,17,15,4,-200.0,6,1,0
GA,18,15,3,-200.0,6,1,0
GA,19,15,3,-200.0,6,1,0
GA,20,15,3,-200.0,6,1,0
GA,21,15,3,-200.0,6,1,0
GA,22,15,3,-200.0,6,1,0
GA,23,15,3,-200.0,6,1,0
GA,24,15,5,-200.0,6,1,0
GA,25,15,4,28.5921,2,1,0
GA,26,15,3,-200.0,6,1,0
GA,27,15,7,-200.0,6,1,0
GA,28,15,3,-200.0,6,1,0
GA,29,15,3,-200.0,6,1,0
GWO,0,15,2,-200.0,6,1,0
GWO,1,15,4,-200.0,6,1,0
GWO,2,15,4,-200.0,6,1,0
GWO,3,15,4,-200.0,6,1,0
GWO,4,15,4,-200.0,6,1,0
GWO,5,15,4,-200.0,6,1,0
GWO,6,15,3,-200.0,6,1,0
GWO,7,15,2,-200.0,6,1,0
GWO,8,15,3,-200.0,6,1,0
GWO,9,15,3,-200.0,6,1,0
GWO,10,15,4,-200.0,6,1,0
GWO,11,15,3,-200.0,6,1,0
GWO,12,15,4,-200.0,6,1,0
GWO,13,15,3,-200.0,6,1,0
GWO,14,15,4,28.7817,2,1,0
GWO,15,15,4,28.79952,2,1,0
GWO,16,15,3,-200.0,6,1,0
GWO,17,15,2,-200.0,6,1,0
GWO,18,15,2,-200.0,6,1,0
GWO,19,15,3,-200.0,6,1,0
GWO,20,15,3,-200.0,6,1,0
GWO,21,15,3,-200.0,6,1,0
GWO,22,15,3,-200.0,6,1,0
GWO,23,15,3,-200.0,6,1,0
GWO,24,15,4,-200.0,6,1,0
GWO,25,15,3,-200.0,6,1,0
GWO,26,15,3,27.92271,3,1,0
GWO,27,15,2,31.01572,2,1,0
GWO,28,15,4,-200.0,6,1,0
GWO,29,15,3,-200.0,6,0,0
PSO,0,15,8,-200.0,6,1,0
PSO,1,15,7,-200.0,6,1,0
PSO,2,15,3,-200.0,6,1,0
PSO,3,15,3,-200.0,6,1,0
PSO,4,15,3,28.40265,2,1,0
PSO,5,15,8,47.46698,2,1,0
PSO,6,15,4,28.45575,2,1,0
PSO,7,15,8,48.30006,1,1,0
PSO,8,15,4,-200.0,6,1,0
PSO,9,15,6,48.43125,2,0,0
PSO,10,15,5,-200.0,6,1,0
PSO,11,15,8,48.33145,1,1,0
PSO,12,15,3,48.99769,2,1,0
PSO,13,15,4,29.44937,2,1,0
PSO,14,15,3,29.50214,2,1,0
PSO,15,15,3,49.31997,2,1,0
PSO,16,15,3,-200.0,6,0,0
PSO,17,15,6,-200.0,6,0,0
PSO,18,15,3,49.29248,2,1,0
PSO,19,15,2,-200.0,6,0,0
PSO,20,15,3,49.47838,2,1,0
PSO,21,15,3,28.2137,3,1,0
PSO,22,15,3,49.15031,2,1,0
PSO,23,15,4,28.98316,2,1,0
PSO,24,15,4,-200.0,6,1,0
PSO,25,15,3,-200.0,6,1,0
PSO,26,15,8,48.3525,2,1,0
PSO,27,15,4,28.47124,2,1,0
PSO,28,15,8,48.37814,2,1,0
PSO,29,15,4,28.58405,2,1,0
