algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
ACO,22,15,2,26.16839,3,1,0
ACO,23,15,2,26.05465,3,1,0
ACO,24,15,2,26.06236,3,1,0
ACO,25,15,2,26.14553,3,1,0
ACO,26,15,2,26.05603,3,1,0
ACO,27,15,2,26.16958,3,1,0
ACO,28,15,2,-200.0,6,1,0
ACO,29,15,2,-200.0,6,1,0
FA,0,15,1,-200.0,6,1,0
FA,1,15,2,-200.0,6,1,0
FA,2,15,1,-200.0,6,1,0
FA,3,15,2,-200.0,6,1,0
FA,4,15,1,-200.0,6,1,0
FA,5,15,2,-200.0,6,1,0
FA,6,15,2,-200.0,6,1,0
FA,7,15,1,-200.0,6,1,0
FA,8,15,2,-200.0,6,1,0
FA,9,15,2,20.68883,4,1,0
FA,10,15,2,11.97803,3,1,0
FA,11,15,2,21.34948,3,1,0
FA,12,15,2,32.89698,3,1,0
FA,13,15,4,21.91535,3,1,0
FA,14,15,3,14.33081,3,1,0
FA,15,15,4,35.76316,3,1,0
FA,16,15,2,13.59486,3,1,0
FA,17,15,2,26.30712,2,1,0
FA,18,15,3,34.60694,3,1,0
FA,19,15,1,43.80859,3,1,0
FA,20,15,1,41.50098,3,1,0
FA,21,15,3,19.09114,3,1,0
FA,22,15,2,17.67424,4,1,0
FA,23,15,1,12.50009,4,1,0
FA,24,15,2,30.40466,3,1,0
FA,25,15,2,11.90309,4,1,0
FA,26,15,2,18.89376,4,1,0
FA,27,15,2,34.87906,3,0,0
FA,28,15,2,25.59969,3,1,0
FA,29,15,3,19.71524,3,1,0
GA,0,15,3,27.88165,3,1,0
GA,1,15,1,43.05899,3,1,0
GA,2,15,3,36.59721,3,1,0
GA,3,15,2,30.3675,3,1,0
GA,4,15,1,31.5399,3,1,0
GA,5,15,2,30.75992,3,1,0
GA,6,15,3,26.28374,3,1,0
GA,7,15,2,30.88758,3,1,0
GA,8,15,2,26.01232,3,1,0
GA,9,15,2,30.62839,3,1,0
GA,10,15,2,26.11521,3,1,0
GA,11,15,2,29.0154,3,1,0
GA,12,15,1,43.3046,2,1,0
GA,13,15,2,26.16151,3,1,0
GA,14,15,2,28.973,3,1,0
GA,15,15,2,30.96011,3,1,0
GA,16,15,2,29.92249,3,1,0
GA,17,15,2,27.00142,3,1,0
GA,18,15,4,27.15504,3,1,0
GA,19,15,3,36.22678,3,1,0
GA,20,15,1,31.02519,3,1,0
GA,21,15,2,22.10276,2,1,0
GA,22,15,3,-200.0,6,1,0
GA,23,15,1,-200.0,6,1,0
GA,24,15,2,30.92762,3,1,0
GA,25,15,2,26.90469,3,1,0
GA,26,15,2,-200.0,6,1,0
GA,27,15,2,-200.0,6,1,0
GA,28,15,2,-200.0,6,1,0
GA,29,15,4,-200.0,6,1,0
GWO,0,15,2,-200.0,6,1,0
GWO,1,15,2,26.44454,3,1,0
GWO,2,15,2,26.82446,3,1,0
GWO,3,15,2,-200.0,6,1,0
GWO,4,15,2,26.6169,3,1,0
GWO,5,15,2,26.49872,3,1,0
GWO,6,15,2,26.36894,3,1,0
GWO,7,15,2,26.73208,3,1,0
