lambda,case,algo,success_rate,mean_fitness,median_fitness,avg_rank,n
10000.0,hard,FA,0.23333333333333334,12563.531937674934,14899.152999361508,4.483333333333333,30
10000.0,hard,GA,0.3,9560.540139528803,9889.332717914527,2.933333333333333,30
10000.0,hard,GWO,0.13333333333333333,15232.357250288149,19899.772701462207,5.066666666666666,30
10000.0,hard,PSO,0.23333333333333334,11226.613171638211,9891.137164672866,2.9,30
10000.0,highdim,ABC,0.9666666666666667,226.85222288141787,-107.21354804235875,1.4666666666666666,30
10000.0,highdim,ACO,0.1,8899.532357167416,9903.184715719899,4.116666666666666,30
10000.0,highdim,FA,0.13333333333333333,9567.558377001747,9904.341545462445,5.416666666666667,30
10000.0,highdim,GA,0.7,2893.8810598087034,-106.74960072157754,2.4,30
10000.0,highdim,GWO,0.1,8899.75817549734,9903.66373970425,4.633333333333334,30
10000.0,highdim,PSO,0.6666666666666666,3227.2338333321413,-106.67044042971115,2.966666666666667,30
