lambda,case,run,algo,best_fitness,PSRR_DB,penalty,is_feasible,runtime_sec
1000.0,hard,29,ABC,-99.2845946308516,99.2845946308516,0,1,4.313754200004041
1000.0,hard,29,GWO,1904.2632550063354,95.73674499366473,2,0,3.7782800999702886
1000.0,hard,29,FA,898.3478231803201,101.65217681967987,1,0,9.293848700006492
1000.0,hard,29,PSO,891.2184444289719,108.78155557102815,1,0,2.400949099974241
1000.0,hard,29,GA,1886.7418224164003,113.2581775835996,2,0,4.856180700007826
1000.0,hard,29,ACO,1904.3046972202812,95.6953027797187,2,0,4.250039700011257
1000.0,highdim,0,ABC,-113.51171019894893,113.51171019894893,0,1,5.777127799985465
1000.0,highdim,0,GWO,-105.89082876112528,105.89082876112528,0,1,5.088713800010737
1000.0,highdim,0,FA,-105.89082876112528,105.89082876112528,0,1,22.372432500007562
1000.0,highdim,0,PSO,-113.49028379127218,113.49028379127218,0,1,3.240016099996865
1000.0,highdim,0,GA,-113.39331011368898,113.39331011368898,0,1,7.6693213999969885
1000.0,highdim,0,ACO,-105.89082876112528,105.89082876112528,0,1,5.86095750000095
1000.0,highdim,1,ABC,-111.80002077837898,111.80002077837898,0,1,5.609580199990887
1000.0,highdim,1,GWO,892.9825500709655,107.01744992903444,1,0,5.051975800015498
1000.0,highdim,1,FA,892.9825500709655,107.01744992903444,1,0,23.147005400038324
1000.0,highdim,1,PSO,-109.70811064388349,109.70811064388349,0,1,3.204252000025008
1000.0,highdim,1,GA,-109.59661060596498,109.59661060596498,0,1,7.83192050002981
1000.0,highdim,1,ACO,892.9825500709655,107.01744992903444,1,0,5.935759500018321
1000.0,highdim,2,ABC,-107.743077857963,107.743077857963,0,1,5.844830700021703
1000.0,highdim,2,GWO,900.2147691074118,99.78523089258816,1,0,5.180522600014228
1000.0,highdim,2,FA,900.2147691074118,99.78523089258816,1,0,22.377231499995105
1000.0,highdim,2,PSO,888.9863933635754,111.01360663642453,1,0,3.305358699988574
1000.0,highdim,2,GA,888.9241091490467,111.07589085095327,1,0,8.340951399994083
1000.0,highdim,2,ACO,900.2147691074118,99.78523089258816,1,0,5.8590250999550335
1000.0,highdim,3,ABC,-102.52811804820821,102.52811804820821,0,1,5.652624899987131
1000.0,highdim,3,GWO,903.66430713428,96.33569286571999,1,0,5.0611334999557585
1000.0,highdim,3,FA,906.6118538099304,93.38814619006958,1,0,9.586404600006063
1000.0,highdim,3,PSO,891.8201388712412,108.17986112875877,1,0,3.1897229999885894
1000.0,highdim,3,GA,890.8803896194685,109.1196103805315,1,0,7.788610599993262
1000.0,highdim,3,ACO,903.6180370789687,96.3819629210313,1,0,5.898600300017279
1000.0,highdim,4,ABC,-104.19133752659287,104.19133752659287,0,1,5.699476800044067
1000.0,highdim,4,GWO,903.6705104823297,96.32948951767024,1,0,5.109928499965463
1000.0,highdim,4,FA,1901.5081469622623,98.49185303773763,2,0,23.312205700029153
1000.0,highdim,4,PSO,-105.11313531135823,105.11313531135823,0,1,3.2501403000205755
1000.0,highdim,4,GA,-102.02203068617537,102.02203068617537,0,1,7.78164989996003
1000.0,highdim,4,ACO,903.655662297831,96.34433770216906,1,0,5.915083100029733
1000.0,highdim,5,ABC,-111.6177336708982,111.6177336708982,0,1,5.699107800028287
1000.0,highdim,5,GWO,895.2311311310103,104.76886886898971,1,0,5.187360899988562
1000.0,highdim,5,FA,895.2311311310103,104.76886886898971,1,0,22.307766799989622
1000.0,highdim,5,PSO,-110.5884173236557,110.5884173236557,0,1,3.2151308999746107
1000.0,highdim,5,GA,-110.83298979933691,110.83298979933691,0,1,7.753432400000747
1000.0,highdim,5,ACO,895.2311311310103,104.76886886898971,1,0,5.823986799980048
1000.0,highdim,6,ABC,-113.1467418349957,113.1467418349957,0,1,5.686181399971247
1000.0,highdim,6,GWO,893.227298662363,106.772701337637,1,0,5.053443500015419
1000.0,highdim,6,FA,893.227298662363,106.772701337637,1,0,22.239637100021355
1000.0,highdim,6,PSO,-112.79333515422185,112.79333515422185,0,1,3.17670749995159
1000.0,highdim,6,GA,-113.21567638384596,113.21567638384596,0,1,7.838374300044961
1000.0,highdim,6,ACO,893.227298662363,106.772701337637,1,0,5.830603800015524
1000.0,highdim,7,ABC,-112.65765450758315,112.65765450758315,0,1,5.657165200042073
1000.0,highdim,7,GWO,890.9468876599781,109.0531123400219,1,0,5.067007799982093
1000.0,highdim,7,FA,890.9468876599781,109.0531123400219,1,0,22.312739599961787
1000.0,highdim,7,PSO,-108.98049248051488,108.98049248051488,0,1,3.193962199962698
1000.0,highdim,7,GA,-112.11282116516763,112.11282116516763,0,1,7.832206099992618
1000.0,highdim,7,ACO,890.9468876599781,109.0531123400219,1,0,5.816988799953833
1000.0,highdim,8,ABC,-103.8893080860415,103.8893080860415,0,1,5.677191000024322
1000.0,highdim,8,GWO,903.9746792367998,96.02532076320016,1,0,5.044518800044898
1000.0,highdim,8,FA,906.387331768052,93.61266823194791,1,0,9.52411729999585
1000.0,highdim,8,PSO,905.5959802395901,94.40401976040988,1,0,3.191281500039622
1000.0,highdim,8,GA,-103.62989129621194,103.62989129621194,0,1,8.286882499989588
1000.0,highdim,8,ACO,903.6548088707322,96.34519112926785,1,0,6.221993899962399
1000.0,highdim,9,ABC,-113.65117505216666,113.65117505216666,0,1,5.658532999979798
1000.0,highdim,9,GWO,885.9156589166921,114.08434108330788,1,0,5.105307799996808
1000.0,highdim,9,FA,884.4295423179566,115.57045768204337,1,0,9.392522000009194
1000.0,highdim,9,PSO,-113.58677936056041,113.58677936056041,0,1,3.183429899974726
1000.0,highdim,9,GA,-109.38461987051173,109.38461987051173,0,1,7.99696059996495
1000.0,highdim,9,ACO,885.9156589166921,114.08434108330788,1,0,6.600230899988674
1000.0,highdim,10,ABC,-113.6402323868472,113.6402323868472,0,1,6.253765099972952
1000.0,highdim,10,GWO,-102.00742345843513,102.00742345843513,0,1,5.683392400038429
1000.0,highdim,10,FA,-102.00742345843513,102.00742345843513,0,1,24.27089550002711
1000.0,highdim,10,PSO,-113.37590492420507,113.37590492420507,0,1,3.208566499990411
1000.0,highdim,10,GA,-113.64041106685123,113.64041106685123,0,1,7.719380100024864
1000.0,highdim,10,ACO,-106.51302907611698,106.51302907611698,0,1,5.895346699981019
1000.0,highdim,11,ABC,-109.5365224760946,109.5365224760946,0,1,5.661130100023001
1000.0,highdim,11,GWO,899.0318075422139,100.96819245778616,1,0,5.101801000011619
1000.0,highdim,11,FA,899.0318075422139,100.96819245778616,1,0,22.352027599990834
1000.0,highdim,11,PSO,-109.30288310106906,109.30288310106906,0,1,3.1998440999886952
1000.0,highdim,11,GA,-109.67545022460094,109.67545022460094,0,1,8.077144399983808
1000.0,highdim,11,ACO,899.0318075422139,100.96819245778616,1,0,6.0171077999984846
1000.0,highdim,12,ABC,-105.56972996568707,105.56972996568707,0,1,5.6120483000413515
1000.0,highdim,12,GWO,903.6635497345324,96.33645026546765,1,0,5.057587900024373
1000.0,highdim,12,FA,904.1034018304634,95.89659816953652,1,0,9.43132010003319
1000.0,highdim,12,PSO,-105.57478517351633,105.57478517351633,0,1,3.204415299987886
1000.0,highdim,12,GA,-106.01007208522776,106.01007208522776,0,1,7.746267200040165
1000.0,highdim,12,ACO,903.6612507298563,96.33874927014367,1,0,5.90493769996101
1000.0,highdim,13,ABC,-109.56361535600603,109.56361535600603,0,1,5.681271300010849
1000.0,highdim,13,GWO,-99.87271193272908,99.87271193272908,0,1,5.052980399981607
1000.0,highdim,13,FA,-99.87271193272908,99.87271193272908,0,1,22.319447799993213
1000.0,highdim,13,PSO,-109.54370526928793,109.54370526928793,0,1,3.185663500044029
1000.0,highdim,13,GA,-109.55406050343342,109.55406050343342,0,1,7.726319299952593
1000.0,highdim,13,ACO,-99.87271193272908,99.87271193272908,0,1,5.8460158000234514
1000.0,highdim,14,ABC,-96.63641460131859,96.63641460131859,0,1,5.623414399975445
1000.0,highdim,14,GWO,903.6639860318505,96.33601396814953,1,0,5.058970599959139
1000.0,highdim,14,FA,907.1095639073568,92.89043609264318,1,0,9.387196400028188
1000.0,highdim,14,PSO,905.5742884917803,94.42571150821966,1,0,3.2837598000187427
1000.0,highdim,14,GA,906.4799596682373,93.52004033176276,1,0,8.357747600006405
1000.0,highdim,14,ACO,903.6604200211135,96.3395799788865,1,0,5.954539500002284
1000.0,highdim,15,ABC,-111.00592029950919,111.00592029950919,0,1,5.69779980002204
1000.0,highdim,15,GWO,903.6659783987462,96.33402160125372,1,0,5.226411700015888
1000.0,highdim,15,FA,908.441608368011,91.55839163198897,1,0,10.174730699975044
1000.0,highdim,15,PSO,-110.90490707877927,110.90490707877927,0,1,3.2116317999898456
1000.0,highdim,15,GA,-108.59058794793606,108.59058794793606,0,1,7.902475300012156
1000.0,highdim,15,ACO,903.6512923310894,96.34870766891065,1,0,5.957630099961534
1000.0,highdim,16,ABC,-101.12980398926216,101.12980398926216,0,1,5.701011700031813
1000.0,highdim,16,GWO,904.0022193692796,95.99778063072046,1,0,5.0728509000036865
1000.0,highdim,16,FA,904.952148232,95.04785176800002,1,0,22.416344200028107
1000.0,highdim,16,PSO,896.2106129729243,103.78938702707563,1,0,3.212638099968899
1000.0,highdim,16,GA,896.2113684491737,103.78863155082621,1,0,7.979433199972846
1000.0,highdim,16,ACO,903.6482180147933,96.35178198520666,1,0,5.974709599977359
1000.0,highdim,17,ABC,-109.10775158832612,109.10775158832612,0,1,5.696561200020369
1000.0,highdim,17,GWO,903.6687643148736,96.3312356851264,1,0,5.0724717999692075
1000.0,highdim,17,FA,905.8329873787088,94.16701262129115,1,0,9.476640400011092
1000.0,highdim,17,PSO,-107.98245419071402,107.98245419071402,0,1,3.1984583999728784
1000.0,highdim,17,GA,-108.6187449400565,108.6187449400565,0,1,7.76930009998614
1000.0,highdim,17,ACO,903.6578255286682,96.34217447133172,1,0,5.931761100015137
1000.0,highdim,18,ABC,-104.08844972719535,104.08844972719535,0,1,5.711352300015278
1000.0,highdim,18,GWO,893.7002130644405,106.29978693555955,1,0,5.0644939999911
1000.0,highdim,18,FA,893.7002130644405,106.29978693555955,1,0,23.007663400028832
1000.0,highdim,18,PSO,888.7016049528969,111.29839504710306,1,0,3.2023289000499062
1000.0,highdim,18,GA,888.6542560961444,111.34574390385558,1,0,7.812373300024774
1000.0,highdim,18,ACO,893.7002130644405,106.29978693555955,1,0,5.834709699964151
1000.0,highdim,19,ABC,-115.40614342439966,115.40614342439966,0,1,5.664379499969073
1000.0,highdim,19,GWO,890.0988783398925,109.90112166010749,1,0,5.065081700042356
1000.0,highdim,19,FA,890.0988783398925,109.90112166010749,1,0,22.42834500002209
1000.0,highdim,19,PSO,-112.87994589394015,112.87994589394015,0,1,3.198090600024443
1000.0,highdim,19,GA,-115.5488183669785,115.5488183669785,0,1,8.536336099961773
1000.0,highdim,19,ACO,890.0988783398925,109.90112166010749,1,0,6.595926699985284
1000.0,highdim,20,ABC,-102.84066704623625,102.84066704623625,0,1,5.927437099977396
1000.0,highdim,20,GWO,903.9511327740886,96.04886722591135,1,0,5.043751899967901
1000.0,highdim,20,FA,905.9104187145056,94.08958128549439,1,0,9.42749620001996
1000.0,highdim,20,PSO,-106.61113575703664,106.61113575703664,0,1,3.1911718000192195
1000.0,highdim,20,GA,-106.69335605628444,106.69335605628444,0,1,7.806538400007412
1000.0,highdim,20,ACO,903.6593256052448,96.34067439475518,1,0,6.006098400044721
1000.0,highdim,21,ABC,-95.42506009610882,95.42506009610882,0,1,5.721519400016405
1000.0,highdim,21,GWO,903.6639296739681,96.33607032603183,1,0,5.084875100001227
1000.0,highdim,21,FA,1906.6551952168059,93.34480478319405,2,0,9.31293909996748
1000.0,highdim,21,PSO,906.4118961253889,93.58810387461102,1,0,3.2539279999909922
1000.0,highdim,21,GA,904.4757442603981,95.5242557396019,1,0,8.173229000007268
1000.0,highdim,21,ACO,903.6515760952622,96.3484239047378,1,0,6.005067300051451
